구분,건수,면적(ha)
2015,623,418
2016,391,378
2017,692,"1,480"
2018,496,894
2019,653,"3,255"
2020,620,"2,920"
2021,349,766
2022,756,"24,797"
2023,596,"4,992"
2024,279,132
