계절,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
년평균,12.2,12.4,12.4,12.2,12.9,12.1,12.6,13.0,12.7,12.7,12.4,12.1,12.1,12.6,12.8,13.1,13.4,12.8,12.8,13.3,13.0,13.3,12.9,13.7,14.5
봄,11.4,12.0,12.5,11.8,12.0,11.5,11.3,11.8,12.3,12.4,10.6,10.8,12.0,11.4,12.9,12.5,13.0,12.7,12.9,12.5,12.0,12.8,13.2,13.5,13.2
여름,24.0,24.0,22.9,22.2,23.8,23.9,23.5,23.6,23.5,23.1,24.7,23.9,24.5,25.2,23.4,23.5,24.6,24.3,25.3,23.9,23.9,24.2,24.5,24.7,25.6
가을,13.4,14.0,12.2,14.5,14.4,14.5,14.8,14.2,14.8,14.4,14.2,15.0,13.4,14.2,14.5,14.9,14.8,14.0,13.5,15.2,14.1,14.9,14.8,15.1,16.8
겨울,0.0,1.2,0.6,1.0,0.2,-0.5,2.0,0.4,1.4,0.2,-1.0,-0.8,-1.4,1.2,0.3,1.1,1.3,-1.1,1.0,2.8,0.9,0.3,0.2,2.4,0.4
